Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,313","1,298","1,216","1,494","1,704","1,689","1,795","1,943","2,123","2,351","2,083","2,052","1,990"
Expenses+,"1,221","1,235","1,132","1,300","1,603","1,572","1,648","1,792","1,981","2,208","1,858","1,853","1,846"
Operating Profit,93,64,84,194,101,117,147,151,142,142,224,199,144
OPM %,7%,5%,7%,13%,6%,7%,8%,8%,7%,6%,11%,10%,7%
Other Income+,16,8,9,16,16,20,22,17,24,18,23,33,26
Interest,40,41,35,38,28,24,45,40,40,34,36,35,34
Depreciation,22,18,19,19,19,21,28,29,33,36,39,40,41
Profit before tax,46,13,40,153,70,92,97,99,93,91,173,156,96
Tax %,36%,60%,15%,20%,16%,19%,1%,34%,29%,34%,33%,35%,
Net Profit+,32,7,34,122,59,75,96,65,66,60,115,101,61
EPS in Rs,3.66,0.77,3.92,13.98,6.74,8.61,11.02,7.44,7.61,6.92,13.27,11.66,7.00
Dividend Payout %,19%,26%,15%,14%,12%,14%,9%,20%,20%,14%,15%,17%,
