Metric,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,35,77,255,274,171,135,244,282,432,745,805
Expenses+,34,73,243,257,167,132,236,274,419,736,794
Operating Profit,1,4,13,17,4,3,8,9,13,9,11
OPM %,3%,5%,5%,6%,3%,2%,3%,3%,3%,1%,1%
Other Income+,0,2,5,4,6,4,3,4,7,15,11
Interest,1,3,8,8,6,3,3,3,4,6,6
Depreciation,1,2,2,4,3,3,2,2,2,4,4
Profit before tax,-1,0,8,10,2,1,6,8,14,15,12
Tax %,-6%,35%,34%,33%,21%,23%,27%,23%,25%,32%,
Net Profit+,-0,0,5,7,2,1,4,6,10,10,8
EPS in Rs,-0.10,0.06,0.26,0.25,0.06,0.03,0.15,0.22,0.39,0.38,0.30
Dividend Payout %,0%,0%,0%,0%,0%,0%,22%,0%,0%,0%,
