Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,146,163,155,161,270,320,229,290,557,661,546,539,564
Expenses+,142,153,140,144,249,310,229,273,521,621,518,514,539
Operating Profit,4,11,15,17,21,9,-0,16,35,40,28,25,25
OPM %,3%,7%,9%,11%,8%,3%,-0%,6%,6%,6%,5%,5%,4%
Other Income+,2,1,5,1,1,2,2,2,3,16,3,4,4
Interest,0,1,0,0,3,8,10,7,10,12,9,8,8
Depreciation,1,1,1,1,3,3,5,5,5,5,6,6,6
Profit before tax,4,10,18,17,16,0,-13,7,23,38,17,15,15
Tax %,41%,34%,42%,36%,37%,"-1,107%",-33%,33%,24%,26%,26%,26%,
Net Profit+,2,7,10,11,10,3,-9,4,18,28,12,11,11
EPS in Rs,2.38,6.71,10.09,10.47,10.06,3.27,-8.35,4.36,17.07,27.13,11.89,10.95,10.56
Dividend Payout %,42%,30%,20%,19%,20%,31%,0%,23%,9%,6%,8%,9%,
