Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,92,150,207,218,159,5,2,1,45,23,55,95,106
Expenses+,88,140,163,216,163,25,19,3,38,21,42,76,86
Operating Profit,4,11,44,2,-4,-20,-17,-2,7,2,12,18,20
OPM %,4%,7%,21%,1%,-3%,-407%,-919%,-150%,15%,7%,23%,19%,19%
Other Income+,-53,4,-193,2,-95,0,1,3,1,2,9,1,1
Interest,9,7,0,29,24,0,0,0,2,1,2,5,6
Depreciation,5,8,8,8,8,8,8,7,3,2,2,2,3
Profit before tax,-63,0,-157,-32,-132,-27,-24,-5,3,0,18,13,13
Tax %,-29%,"-8,900%",-29%,9%,46%,0%,0%,0%,0%,0%,-249%,25%,
Net Profit+,-45,2,-111,-35,-191,-27,-24,-5,3,0,62,10,10
EPS in Rs,-4.40,0.15,-6.67,-1.58,-8.69,-1.25,-1.09,-0.25,0.14,0.01,2.79,0.41,0.40
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
