Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,30.52,0.00,0.00,0.00,53.23,80.70,104.84,92.41,63.57
Expenses+,55.88,3.19,2.64,1.81,54.09,81.19,103.17,93.92,65.34
Operating Profit,-25.36,-3.19,-2.64,-1.81,-0.86,-0.49,1.67,-1.51,-1.77
OPM %,-83.09%,,,,-1.62%,-0.61%,1.59%,-1.63%,-2.78%
Other Income+,79.38,6.69,5.63,4.25,4.38,7.66,7.67,12.91,13.56
Interest,0.01,0.00,0.00,0.00,0.00,0.61,0.89,3.37,3.75
Depreciation,0.00,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00
Profit before tax,54.01,3.48,2.97,2.43,3.51,6.55,8.44,8.02,8.04
Tax %,0.48%,26.15%,27.27%,28.40%,27.92%,27.79%,25.83%,28.43%,
Net Profit+,53.75,2.58,2.16,1.74,2.53,4.73,6.26,5.74,5.78
EPS in Rs,15.03,0.72,0.60,0.49,0.71,1.32,1.75,1.61,1.61
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
