Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,227,313,322,333,432,427,480,552,554
Expenses+,202,285,298,318,390,352,395,455,457
Operating Profit,25,28,24,15,41,76,85,96,96
OPM %,11%,9%,8%,5%,10%,18%,18%,17%,17%
Other Income+,0,1,1,2,1,3,25,3,3
Interest,7,9,10,13,23,31,29,26,25
Depreciation,6,8,9,7,18,36,38,43,44
Profit before tax,12,13,6,-2,1,11,42,29,30
Tax %,37%,25%,30%,-25%,-8%,30%,24%,27%,
Net Profit+,8,9,5,-2,1,8,32,21,21
EPS in Rs,10.47,9.22,5.04,-1.46,0.82,7.08,23.37,14.17,14.34
Dividend Payout %,0%,0%,0%,0%,0%,14%,5%,8%,
