Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,1.12,0.87,0.74,0.86,1.37,1.79,8.30,1.37,4.22,7.65,4.13,5.26,5.19
Expenses+,12.98,0.81,0.64,0.81,1.11,1.28,1.02,0.31,0.34,0.33,0.41,0.35,0.77
Operating Profit,-11.86,0.06,0.10,0.05,0.26,0.51,7.28,1.06,3.88,7.32,3.72,4.91,4.42
OPM %,"-1,058.93%",6.90%,13.51%,5.81%,18.98%,28.49%,87.71%,77.37%,91.94%,95.69%,90.07%,93.35%,85.16%
Other Income+,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Profit before tax,-11.86,0.06,0.10,0.05,0.26,0.56,7.28,1.06,3.88,7.32,3.72,4.91,4.44
Tax %,0.00%,16.67%,0.00%,0.00%,0.00%,-10.71%,-0.69%,25.47%,36.34%,25.14%,25.27%,24.64%,
Net Profit+,-11.86,0.05,0.10,0.05,0.26,0.61,7.33,0.79,2.47,5.48,2.78,3.70,3.36
EPS in Rs,-32.45,0.14,0.27,0.14,0.71,1.67,20.06,2.16,6.76,15.00,7.61,10.12,9.19
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
