Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,634","1,638","1,674","1,635","1,874","2,779","2,363","1,541","1,665","1,520","1,682","1,664","1,594"
Expenses+,"1,345","1,371","1,436","1,411","1,638","2,514","2,143","1,432","1,507","1,467","1,530","1,694","1,723"
Operating Profit,289,267,239,224,236,264,220,109,159,53,152,-30,-128
OPM %,18%,16%,14%,14%,13%,10%,9%,7%,10%,3%,9%,-2%,-8%
Other Income+,12,20,6,23,6,6,4,-22,11,43,15,5,2
Interest,138,126,123,117,115,148,126,112,79,79,87,75,73
Depreciation,84,77,57,62,64,63,61,60,57,59,61,62,63
Profit before tax,78,85,64,67,63,59,37,-85,34,-42,18,-162,-263
Tax %,21%,22%,15%,18%,17%,19%,15%,-14%,26%,-43%,73%,-30%,
Net Profit+,62,66,54,55,52,48,32,-73,25,-24,5,-114,-180
EPS in Rs,2.77,2.95,2.42,2.47,2.33,2.12,1.42,-3.27,1.12,-1.08,0.22,-5.07,-8.02
Dividend Payout %,4%,3%,4%,2%,2%,2%,4%,0%,0%,0%,0%,0%,
