Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,355,591,943,"1,107",749,770,"1,134","1,379","1,312","1,347","1,305"
Expenses+,341,571,908,"1,072",702,702,"1,041","1,281","1,240","1,267","1,225"
Operating Profit,14,20,35,35,48,67,93,98,72,80,80
OPM %,4%,3%,4%,3%,6%,9%,8%,7%,6%,6%,6%
Other Income+,0,-0,0,1,13,6,37,13,33,26,28
Interest,9,10,15,16,14,12,13,20,21,18,20
Depreciation,2,2,2,2,3,3,3,4,4,3,3
Profit before tax,3,8,18,18,43,59,114,87,80,85,86
Tax %,34%,34%,35%,49%,26%,23%,26%,28%,25%,28%,
Net Profit+,2,6,12,9,32,45,85,63,61,61,62
EPS in Rs,0.37,1.01,2.15,1.64,5.74,7.65,13.97,10.45,9.96,10.10,10.31
Dividend Payout %,0%,0%,0%,20%,6%,17%,66%,4%,0%,0%,
