Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,695,726,760,870,"1,217","1,465","1,695","2,053"
Expenses+,520,558,593,743,"1,048","1,178","1,285","1,509"
Operating Profit,176,168,167,126,169,287,410,544
OPM %,25%,23%,22%,15%,14%,20%,24%,26%
Other Income+,6,18,27,28,27,29,35,44
Interest,24,22,33,54,81,88,78,56
Depreciation,44,55,80,90,99,119,139,149
Profit before tax,113,109,82,10,16,109,228,383
Tax %,35%,30%,25%,36%,39%,24%,25%,
Net Profit+,73,76,61,6,10,83,170,286
EPS in Rs,,,,,,,8.16,13.73
Dividend Payout %,0%,0%,0%,"1,116%",676%,0%,0%,
