Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,90,94,97,101,114,135,132,127,176,226,274,298,302
Expenses+,71,76,84,82,92,105,110,99,130,171,208,234,238
Operating Profit,18,17,13,19,22,30,22,28,45,54,66,64,64
OPM %,20%,18%,13%,19%,19%,22%,17%,22%,26%,24%,24%,22%,21%
Other Income+,1,-0,0,1,1,1,3,5,4,4,4,4,5
Interest,1,2,3,3,3,3,2,1,2,4,5,5,4
Depreciation,3,5,8,7,7,7,7,6,6,9,13,19,18
Profit before tax,15,10,2,9,13,21,16,26,41,45,53,44,47
Tax %,35%,42%,82%,42%,36%,24%,26%,29%,26%,27%,26%,24%,
Net Profit+,10,5,0,5,8,16,12,18,30,33,39,34,34
EPS in Rs,0.52,0.29,0.03,0.29,0.46,0.86,0.63,0.99,1.60,1.75,2.08,1.77,1.83
Dividend Payout %,10%,17%,48%,12%,7%,5%,4%,15%,15%,15%,15%,15%,
