Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,218,190,204,264,302,361,375,346,392,471,656,764,803
Interest,62,58,67,94,118,149,157,162,184,209,270,328,340
Expenses+,68,60,61,85,93,122,140,103,97,129,142,163,182
Financing Profit,89,72,76,85,92,90,78,81,110,134,244,273,282
Financing Margin %,41%,38%,37%,32%,30%,25%,21%,23%,28%,28%,37%,36%,35%
Other Income+,0,1,-1,0,0,0,0,0,-0,-4,1,1,1
Depreciation,4,6,5,6,6,5,4,4,3,3,3,5,7
Profit before tax,84,67,70,79,86,85,74,78,107,126,241,268,276
Tax %,33%,34%,35%,34%,33%,34%,27%,25%,26%,26%,26%,25%,
Net Profit+,56,44,45,52,58,56,54,58,79,94,179,200,206
EPS in Rs,0.69,0.54,0.56,0.64,0.71,0.70,0.64,0.69,0.90,1.04,1.99,2.22,2.29
Dividend Payout %,7%,9%,9%,8%,7%,7%,8%,7%,6%,5%,5%,5%,
