Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,361","4,128","4,895","3,709","2,675","2,371","2,384","2,513","3,227","4,679","6,266","7,385","7,506"
Expenses+,"1,585","2,006","3,710","1,659","2,841","3,005","2,341","2,235","3,592","4,196","5,898","7,029","7,248"
Operating Profit,"1,775","2,122","1,184","2,050",-167,-634,43,278,-364,483,368,356,258
OPM %,53%,51%,24%,55%,-6%,-27%,2%,11%,-11%,10%,6%,5%,3%
Other Income+,25,58,"1,012",-316,60,10,-157,17,137,"3,473",263,12,48
Interest,"1,584","1,658","1,879","1,840","1,271",854,855,733,750,641,112,63,31
Depreciation,34,37,36,31,30,26,61,59,53,56,72,62,59
Profit before tax,182,485,282,-136,"-1,407","-1,504","-1,030",-497,"-1,031","3,259",448,243,216
Tax %,85%,34%,79%,-10%,-16%,-0%,1%,-4%,49%,3%,22%,25%,
Net Profit+,27,321,61,-124,"-1,181","-1,501","-1,038",-478,"-1,539","3,169",347,183,165
EPS in Rs,-4.63,8.62,-2.67,-9.77,-58.56,-59.33,-36.12,-19.60,-48.43,95.24,7.06,3.79,3.56
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
