Metric,Mar 2006,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,41,584,626,803,"1,037","1,166","1,418","1,577"
Expenses+,35,518,563,737,941,"1,049","1,282","1,434"
Operating Profit,6,67,63,66,96,117,136,143
OPM %,14%,11%,10%,8%,9%,10%,10%,9%
Other Income+,1,1,2,2,2,2,3,5
Interest,2,21,21,20,26,34,41,45
Depreciation,2,15,16,16,17,20,23,25
Profit before tax,3,32,28,33,55,65,75,79
Tax %,19%,14%,24%,26%,28%,27%,30%,
Net Profit+,2,27,21,24,40,47,52,57
EPS in Rs,,16.96,12.84,14.13,23.92,26.39,28.75,31.35
Dividend Payout %,32%,0%,12%,13%,9%,9%,9%,
