Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3.40,4.14,3.81,3.64,2.87,3.74,6.23,6.45,8.70,10.29,8.16
Expenses+,3.60,4.91,4.04,5.44,6.15,4.45,5.29,5.36,7.95,14.45,14.27
Operating Profit,-0.20,-0.77,-0.23,-1.80,-3.28,-0.71,0.94,1.09,0.75,-4.16,-6.11
OPM %,-5.88%,-18.60%,-6.04%,-49.45%,-114.29%,-18.98%,15.09%,16.90%,8.62%,-40.43%,-74.88%
Other Income+,0.09,0.82,0.03,2.46,0.75,0.03,0.12,0.04,0.00,4.84,5.69
Interest,0.32,0.35,0.28,0.23,0.82,0.74,0.71,0.34,0.27,0.11,0.10
Depreciation,0.29,0.30,0.29,0.28,0.28,0.28,0.29,0.29,0.31,0.34,0.32
Profit before tax,-0.72,-0.60,-0.77,0.15,-3.63,-1.70,0.06,0.50,0.17,0.23,-0.84
Tax %,-1.39%,1.67%,-1.30%,-26.67%,-1.10%,-2.94%,-100.00%,10.00%,-5.88%,447.83%,
Net Profit+,-0.70,-0.61,-0.76,0.19,-3.59,-1.65,0.12,0.44,0.17,-0.80,-1.86
EPS in Rs,-0.59,-0.51,-0.64,0.16,-3.01,-1.38,0.10,0.29,0.11,-0.52,-1.22
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
