Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,254,257,318,431,401,449,537,570
Expenses+,51,55,67,67,64,72,84,87
Operating Profit,203,202,251,364,336,377,454,483
OPM %,80%,79%,79%,84%,84%,84%,84%,85%
Other Income+,40,40,38,61,86,112,135,152
Interest,1,2,2,2,2,3,3,2
Depreciation,10,15,17,17,19,20,21,22
Profit before tax,232,226,270,405,402,466,565,611
Tax %,29%,22%,24%,24%,24%,25%,24%,
Net Profit+,165,176,205,309,306,351,429,468
EPS in Rs,1.81,1.96,2.29,3.44,3.43,3.93,4.81,5.24
Dividend Payout %,0%,42%,58%,73%,29%,63%,62%,
