Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,136,206,263,300,434,424,394,383,434
Expenses+,113,172,208,234,325,363,325,348,379
Operating Profit,23,34,55,67,109,61,69,35,56
OPM %,17%,17%,21%,22%,25%,14%,17%,9%,13%
Other Income+,1,1,1,5,9,2,7,2,3
Interest,3,4,4,4,5,9,7,2,2
Depreciation,3,4,5,7,8,10,26,28,32
Profit before tax,19,27,48,61,104,45,44,8,25
Tax %,35%,25%,21%,14%,8%,-2%,30%,25%,
Net Profit+,12,21,38,52,96,45,30,6,18
EPS in Rs,15.30,25.56,47.03,26.02,43.25,20.52,12.97,2.44,7.58
Dividend Payout %,0%,0%,0%,19%,5%,10%,15%,41%,
