Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,39.04,33.86,59.36,41.91,39.44
Expenses+,35.28,30.46,60.45,48.50,46.15
Operating Profit,3.76,3.40,-1.09,-6.59,-6.71
OPM %,9.63%,10.04%,-1.84%,-15.72%,-17.01%
Other Income+,0.04,0.10,6.79,1.91,2.30
Interest,2.08,1.63,2.18,2.53,2.78
Depreciation,1.10,1.27,1.17,1.66,1.94
Profit before tax,0.62,0.60,2.35,-8.87,-9.13
Tax %,33.87%,40.00%,31.49%,-1.92%,
Net Profit+,0.42,0.36,1.61,-6.84,-6.89
EPS in Rs,0.05,0.04,0.18,-0.75,-0.75
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,
