Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2024,Mar 2025,TTM
Revenue+,"1,331","1,810","2,020","2,369","2,614","4,965","6,755","7,607"
Interest,810,"1,006","1,183","1,459","1,570","3,164","4,141","4,567"
Expenses+,194,240,431,649,496,85,472,854
Financing Profit,327,564,406,260,548,"1,716","2,142","2,187"
Financing Margin %,25%,31%,20%,11%,21%,35%,32%,29%
Other Income+,-7,7,-72,3,44,-1,0,24
Depreciation,7,21,23,23,23,30,39,41
Profit before tax,313,549,311,241,570,"1,685","2,104","2,169"
Tax %,33%,26%,20%,11%,39%,26%,19%,
Net Profit+,210,405,250,215,346,"1,252","1,698","1,723"
EPS in Rs,267.74,5.17,3.18,2.74,4.41,4.66,6.32,6.29
Dividend Payout %,60%,31%,0%,0%,0%,0%,0%,
