Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,937","2,272","2,563","2,690","2,799","3,174","3,175","3,288","4,410","5,172","5,268","5,720","5,920"
Expenses+,"1,764","2,048","2,157","2,348","2,447","2,888","2,701","2,602","3,410","4,235","4,415","4,844","5,020"
Operating Profit,172,224,406,342,352,286,475,686,"1,000",938,853,876,900
OPM %,9%,10%,16%,13%,13%,9%,15%,21%,23%,18%,16%,15%,15%
Other Income+,39,25,35,26,20,19,-49,-6,-5,32,51,38,44
Interest,0,11,43,45,40,43,117,111,87,67,78,82,81
Depreciation,27,44,102,104,114,128,347,430,395,394,433,485,497
Profit before tax,184,194,296,219,217,134,-39,140,512,508,393,347,366
Tax %,34%,34%,33%,36%,33%,33%,7%,27%,25%,27%,23%,27%,
Net Profit+,123,129,197,140,145,90,-42,102,382,371,301,252,266
EPS in Rs,51.67,54.51,82.95,58.93,60.99,37.83,-17.64,42.91,161.08,156.16,126.86,106.38,112.26
Dividend Payout %,29%,294%,36%,25%,21%,33%,0%,35%,37%,19%,20%,24%,
