Metric,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,247,288,286,582,722,712,863,908
Expenses+,228,262,260,531,689,653,795,838
Operating Profit,19,26,26,52,32,59,68,70
OPM %,8%,9%,9%,9%,4%,8%,8%,8%
Other Income+,7,4,1,0,2,2,2,2
Interest,6,6,4,6,19,32,38,40
Depreciation,7,10,13,16,27,26,29,29
Profit before tax,13,14,10,29,-11,3,3,3
Tax %,22%,34%,24%,12%,4%,-18%,-1%,
Net Profit+,10,9,8,26,-12,3,3,3
EPS in Rs,0.40,0.37,0.30,1.00,-0.46,0.13,0.11,0.11
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
