Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,108.57,69.11,87.03,63.54,76.34,149.53,73.39,62.46,54.88,13.85,0.15,0.00,0.00
Expenses+,99.49,61.05,80.92,66.07,83.95,129.73,64.62,66.11,63.93,18.10,0.45,0.27,0.23
Operating Profit,9.08,8.06,6.11,-2.53,-7.61,19.80,8.77,-3.65,-9.05,-4.25,-0.30,-0.27,-0.23
OPM %,8.36%,11.66%,7.02%,-3.98%,-9.97%,13.24%,11.95%,-5.84%,-16.49%,-30.69%,-200.00%,,
Other Income+,0.00,5.05,0.19,-1.42,-1.06,0.67,0.36,0.91,-0.11,0.13,0.17,-2.83,-2.93
Interest,8.85,8.73,9.10,7.18,7.51,7.94,6.40,6.51,8.42,2.01,0.02,0.02,0.00
Depreciation,10.43,13.53,11.80,9.78,8.23,6.34,5.20,4.76,4.13,3.32,2.76,2.31,1.92
Profit before tax,-10.20,-9.15,-14.60,-20.91,-24.41,6.19,-2.47,-14.01,-21.71,-9.45,-2.91,-5.43,-5.08
Tax %,5.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Net Profit+,-10.80,-9.15,-14.60,-20.92,-24.41,6.19,-2.46,-14.01,-21.70,-9.46,-2.92,-5.43,-5.08
EPS in Rs,-4.57,-3.87,-6.18,-8.85,-10.33,2.32,-0.86,-4.89,-7.58,-3.30,-1.02,-1.90,-1.77
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
