Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,175,178,228,188,200,326,385,328,431,473
Expenses+,146,155,174,160,165,286,351,292,374,408
Operating Profit,30,23,54,28,35,41,34,36,57,65
OPM %,17%,13%,24%,15%,18%,12%,9%,11%,13%,14%
Other Income+,1,1,1,6,8,6,5,10,1,2
Interest,5,4,3,2,2,5,11,14,10,10
Depreciation,4,4,5,6,7,8,18,16,17,17
Profit before tax,21,16,47,26,34,34,11,17,31,40
Tax %,21%,21%,2%,-22%,4%,38%,35%,33%,31%,
Net Profit+,17,12,46,31,33,21,7,12,22,28
EPS in Rs,7.80,4.93,18.50,12.61,13.06,8.56,2.78,4.65,8.63,11.19
Dividend Payout %,0%,10%,8%,0%,15%,6%,0%,22%,29%,
