Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,515,545,561,575,745,856,567,615,927,"1,264","1,267","1,252","1,252"
Expenses+,467,500,497,510,673,780,518,569,869,"1,184","1,175","1,163","1,160"
Operating Profit,49,45,64,64,72,76,48,46,59,80,92,89,92
OPM %,9%,8%,11%,11%,10%,9%,9%,8%,6%,6%,7%,7%,7%
Other Income+,2,2,2,5,4,6,14,5,9,16,32,20,19
Interest,2,5,7,6,3,7,13,17,26,31,32,35,36
Depreciation,13,13,13,13,16,17,19,22,23,24,24,25,26
Profit before tax,36,30,46,49,57,58,31,12,19,40,69,49,49
Tax %,38%,26%,31%,31%,33%,33%,-17%,26%,25%,26%,21%,24%,
Net Profit+,22,22,32,34,38,38,36,9,14,30,54,37,37
EPS in Rs,2.59,2.52,3.66,3.92,4.40,4.42,4.14,1.04,1.63,3.42,6.25,4.29,4.24
Dividend Payout %,27%,28%,22%,23%,23%,23%,0%,19%,18%,12%,6%,12%,
