Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,301","3,366","3,244","3,441","3,298","3,273","2,692","1,140","1,221",806,"1,012",452,367
Expenses+,"2,928","3,227","2,887","3,052","2,950","2,949","2,478","1,304","1,090","1,085","1,337","1,019","1,035"
Operating Profit,373,139,356,389,348,324,214,-164,130,-278,-325,-566,-668
OPM %,11%,4%,11%,11%,11%,10%,8%,-14%,11%,-35%,-32%,-125%,-182%
Other Income+,6,7,7,21,3,3,43,7,13,50,98,206,213
Interest,185,212,301,265,288,271,302,300,359,399,445,600,660
Depreciation,21,27,24,24,25,28,35,31,27,17,13,13,13
Profit before tax,173,-93,38,121,37,28,-80,-487,-243,-644,-685,-973,"-1,127"
Tax %,48%,39%,66%,29%,85%,46%,-88%,-24%,-24%,-24%,11%,0%,
Net Profit+,90,-129,13,85,5,15,-10,-368,-185,-488,-761,-973,"-1,127"
EPS in Rs,13.31,-11.07,2.43,10.10,2.27,2.67,-0.40,-50.51,-25.37,-67.21,-105.07,-134.75,-155.77
Dividend Payout %,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
