Metric,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,30.01,37.67,63.19,65.34,74.29,82.74,53.52,47.20,59.89,82.21,87.71,90.01,93.03
Expenses+,24.08,29.98,48.82,52.12,56.60,64.12,45.97,43.21,53.84,69.81,72.88,74.48,77.83
Operating Profit,5.93,7.69,14.37,13.22,17.69,18.62,7.55,3.99,6.05,12.40,14.83,15.53,15.20
OPM %,19.76%,20.41%,22.74%,20.23%,23.81%,22.50%,14.11%,8.45%,10.10%,15.08%,16.91%,17.25%,16.34%
Other Income+,0.00,0.00,-2.65,0.56,0.31,0.46,0.09,0.49,-0.08,-0.16,0.12,0.10,0.08
Interest,4.08,5.82,5.99,6.04,5.38,4.44,4.27,4.44,3.45,4.09,4.44,5.66,4.98
Depreciation,2.44,3.49,4.90,5.60,6.02,7.00,6.81,6.23,7.08,7.89,8.64,8.41,8.41
Profit before tax,-0.59,-1.62,0.83,2.14,6.60,7.64,-3.44,-6.19,-4.56,0.26,1.87,1.56,1.89
Tax %,0.00%,-35.19%,18.07%,40.65%,17.27%,28.01%,-16.28%,-23.91%,-15.79%,103.85%,38.50%,58.33%,
Net Profit+,-0.59,-1.05,0.69,1.27,5.45,5.50,-2.87,-4.70,-3.84,-0.01,1.15,0.67,0.85
EPS in Rs,-0.31,-0.55,0.36,0.66,2.25,2.27,-1.19,-1.84,-1.45,-0.00,0.42,0.24,0.30
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
