Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,23.40,20.05,16.88,26.02,26.16,21.97,20.66,17.96,24.56,33.96,38.81,33.51,37.62
Expenses+,10.75,10.97,9.48,11.49,15.45,15.82,12.32,8.39,18.02,19.97,22.97,22.96,24.79
Operating Profit,12.65,9.08,7.40,14.53,10.71,6.15,8.34,9.57,6.54,13.99,15.84,10.55,12.83
OPM %,54.06%,45.29%,43.84%,55.84%,40.94%,27.99%,40.37%,53.29%,26.63%,41.20%,40.81%,31.48%,34.10%
Other Income+,1.96,5.14,7.13,2.37,-17.19,0.57,6.33,2.06,2.42,-5.96,1.09,2.30,2.29
Interest,4.72,6.17,6.79,6.71,7.67,7.00,5.29,2.05,1.89,2.20,4.27,1.95,1.78
Depreciation,9.57,7.54,7.55,13.67,9.50,9.32,9.31,9.32,6.92,6.99,7.10,7.39,8.76
Profit before tax,0.32,0.51,0.19,-3.48,-23.65,-9.60,0.07,0.26,0.15,-1.16,5.56,3.51,4.58
Tax %,62.50%,54.90%,-284.21%,-42.82%,-11.25%,27.71%,14.29%,15.38%,13.33%,"1,560.34%",-30.76%,63.82%,
Net Profit+,0.11,0.23,0.77,-1.99,-20.98,-12.26,0.06,0.22,0.13,-19.26,7.27,1.27,2.15
EPS in Rs,0.01,0.02,0.05,-0.13,-1.39,-0.81,0.00,0.01,0.01,-1.50,0.56,0.10,0.15
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
