Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,210,266,400,360,361,366,386,424,472,510,581,623,630
Expenses+,190,240,359,313,308,299,321,337,376,421,480,522,527
Operating Profit,20,26,41,47,53,68,66,87,96,90,100,102,103
OPM %,10%,10%,10%,13%,15%,18%,17%,21%,20%,18%,17%,16%,16%
Other Income+,2,7,7,2,5,5,11,5,10,22,34,22,27
Interest,7,8,10,7,5,4,2,2,1,2,1,2,2
Depreciation,4,5,5,6,6,7,7,8,8,9,11,13,13
Profit before tax,12,20,33,37,46,62,67,84,96,100,122,109,115
Tax %,16%,24%,28%,25%,25%,22%,23%,26%,28%,27%,24%,25%,
Net Profit+,10,15,24,28,35,49,51,62,69,73,93,82,86
EPS in Rs,6.53,9.20,14.52,14.06,17.31,24.36,25.72,31.12,34.63,36.40,46.58,41.11,43.12
Dividend Payout %,9%,11%,7%,9%,9%,6%,6%,5%,4%,4%,4%,4%,
