Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,271,346,458,511,578,676,794,908,970
Interest,166,211,286,313,323,354,449,498,538
Expenses+,108,128,166,174,209,227,248,304,342
Financing Profit,-4,7,7,24,46,95,97,106,90
Financing Margin %,-1%,2%,2%,5%,8%,14%,12%,12%,9%
Other Income+,23,31,43,46,54,49,68,86,90
Depreciation,0,12,15,16,16,21,17,17,0
Profit before tax,19,27,35,54,84,124,148,175,180
Tax %,0%,28%,27%,24%,26%,25%,25%,25%,
Net Profit+,19,19,25,41,63,94,112,132,135
EPS in Rs,,,,,,,24.76,29.10,29.87
Dividend Payout %,0%,3%,0%,7%,5%,4%,5%,14%,
