Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,272",534,184,870,"1,602","1,888","1,938","2,376","3,006","1,543","1,854",591,534
Expenses+,"1,613",686,465,970,"1,644","1,808","1,955","2,025","2,626","1,708","1,926",791,727
Operating Profit,-340,-151,-281,-100,-42,80,-18,352,380,-164,-72,-200,-193
OPM %,-27%,-28%,-152%,-12%,-3%,4%,-1%,15%,13%,-11%,-4%,-34%,-36%
Other Income+,445,215,214,155,147,125,119,101,74,80,50,50,57
Interest,1,0,0,1,1,1,10,15,12,14,15,15,17
Depreciation,42,32,23,22,19,19,27,27,31,25,27,40,42
Profit before tax,61,31,-90,31,86,184,64,410,411,-123,-64,-205,-195
Tax %,35%,1%,-11%,-54%,5%,39%,32%,27%,24%,-20%,31%,-0%,
Net Profit+,40,31,-80,48,81,112,43,301,313,-98,-83,-205,-192
EPS in Rs,0.63,0.49,-1.26,0.76,1.28,1.80,0.70,4.96,5.16,-1.61,-1.37,-3.37,-3.16
Dividend Payout %,21%,21%,-8%,49%,83%,74%,100%,33%,34%,0%,0%,0%,
