Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,8,6,5,38,60,75,99,105,148,198,294,467,543
Expenses+,14,8,14,37,66,91,114,98,125,172,260,411,479
Operating Profit,-7,-2,-9,0,-5,-16,-15,7,23,26,34,56,65
OPM %,-88%,-37%,-165%,0%,-9%,-21%,-15%,7%,15%,13%,12%,12%,12%
Other Income+,-1,0,0,3,0,2,-16,2,5,5,3,4,3
Interest,2,2,3,2,5,5,6,9,9,8,6,7,6
Depreciation,0,0,0,0,2,9,9,9,13,17,20,19,18
Profit before tax,-10,-5,-12,1,-13,-28,-46,-9,6,6,11,34,44
Tax %,0%,0%,0%,9%,0%,3%,-1%,1%,0%,1%,13%,1%,
Net Profit+,-10,-5,-12,1,-13,-29,-46,-9,6,6,10,33,43
EPS in Rs,-2.13,-1.01,-2.59,0.09,-0.96,-1.96,-2.91,-0.58,0.40,0.37,0.53,1.75,2.23
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
