Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,504,637,"1,016","1,360","1,210","1,341","1,879","2,386","2,699","3,068","2,992"
Expenses+,472,598,956,"1,286","1,150","1,270","1,778","2,283","2,584","2,908","2,834"
Operating Profit,32,40,60,75,59,71,101,103,115,160,158
OPM %,6%,6%,6%,6%,5%,5%,5%,4%,4%,5%,5%
Other Income+,1,2,1,1,1,1,1,-4,1,2,2
Interest,17,20,27,30,30,32,36,35,42,43,37
Depreciation,6,7,4,5,7,8,10,14,15,21,22
Profit before tax,10,15,30,41,24,31,55,50,59,98,102
Tax %,35%,30%,30%,33%,15%,26%,27%,24%,25%,26%,
Net Profit+,6,10,21,27,20,23,40,38,44,73,76
EPS in Rs,0.63,1.01,2.04,2.56,1.87,2.03,3.29,2.95,2.93,3.59,3.87
Dividend Payout %,8%,2%,1%,1%,1%,0%,2%,1%,1%,1%,
