Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,195,181,217,242,217,234,277
Expenses+,0,188,168,188,218,193,212,253
Operating Profit,0,7,13,28,24,24,22,24
OPM %,19%,4%,7%,13%,10%,11%,10%,9%
Other Income+,0,-1,15,1,5,3,2,1
Interest,0,1,2,2,4,3,3,3
Depreciation,0,1,5,5,8,9,8,8
Profit before tax,0,4,21,22,17,15,13,15
Tax %,0%,1%,6%,7%,27%,24%,25%,
Net Profit+,0,4,20,20,12,12,10,11
EPS in Rs,0.02,0.32,1.68,1.52,0.94,0.88,0.69,0.74
Dividend Payout %,0%,0%,0%,0%,0%,6%,0%,
