Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,154,180,230,270,177,147,122,66,93,114,84,97,100
Expenses+,126,143,177,208,109,123,86,51,70,74,48,59,61
Operating Profit,29,37,53,62,69,24,36,14,24,40,35,37,40
OPM %,19%,21%,23%,23%,39%,16%,30%,22%,25%,35%,42%,39%,39%
Other Income+,0,0,0,1,1,1,1,1,1,1,1,2,2
Interest,2,2,2,1,1,2,7,9,10,10,8,9,10
Depreciation,5,10,12,13,14,15,28,26,30,30,25,26,27
Profit before tax,21,25,40,49,55,8,2,-20,-16,1,4,4,5
Tax %,25%,21%,35%,35%,35%,33%,-69%,-8%,-18%,-89%,-52%,-5%,
Net Profit+,16,20,26,32,36,5,4,-18,-13,2,6,5,4
EPS in Rs,3.96,5.00,6.47,7.99,8.98,1.26,1.03,-4.55,-3.20,0.57,1.20,0.88,0.85
Dividend Payout %,19%,20%,15%,13%,11%,0%,0%,0%,0%,0%,0%,0%,
