Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,63,89,107,121,93,186,407,170,248,172
Expenses+,4,5,5,6,5,6,6,12,14,14
Operating Profit,59,84,102,115,88,180,401,157,234,158
OPM %,94%,95%,95%,95%,95%,97%,99%,93%,94%,92%
Other Income+,-0,0,0,-0,-0,-0,-0,-0,-0,0
Interest,-0,-0,-0,-0,0,-0,-0,-0,-0,0
Depreciation,0,0,0,0,0,0,-0,-0,-0,0
Profit before tax,59,84,102,115,88,180,401,157,234,158
Tax %,20%,19%,14%,10%,25%,25%,25%,25%,25%,
Net Profit+,48,70,100,106,75,152,332,156,196,125
EPS in Rs,43.43,62.66,90.12,95.90,67.77,136.60,298.66,140.15,176.43,112.25
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
