Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,56,57,53,63,62,77,85,97,112,93,109,110,110
Expenses+,51,54,47,56,58,76,80,90,101,85,100,105,105
Operating Profit,6,3,7,7,4,1,6,8,11,8,9,5,5
OPM %,10%,6%,13%,11%,7%,1%,7%,8%,10%,9%,8%,4%,4%
Other Income+,1,2,5,3,5,5,0,4,11,9,14,23,30
Interest,2,2,1,2,1,1,0,0,0,0,0,0,0
Depreciation,9,6,1,3,3,3,3,1,2,1,2,2,2
Profit before tax,-5,-3,10,6,5,3,3,11,20,16,21,26,32
Tax %,4%,-48%,30%,55%,39%,63%,36%,33%,28%,21%,19%,24%,
Net Profit+,-5,-1,7,3,3,1,2,7,14,13,17,20,26
EPS in Rs,-2.45,-0.67,3.26,1.20,1.34,0.48,0.88,3.45,6.70,5.98,7.98,9.27,12.46
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
