Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,3.24,3.83,5.63,7.59,14.54,17.44,24.59,35.11,35.94
Expenses+,2.01,2.44,4.02,5.81,10.35,22.43,23.36,25.79,28.19
Operating Profit,1.23,1.39,1.61,1.78,4.19,-4.99,1.23,9.32,7.75
OPM %,37.96%,36.29%,28.60%,23.45%,28.82%,-28.61%,5.00%,26.55%,21.56%
Other Income+,0.06,0.07,0.12,0.52,0.63,0.76,0.70,0.89,0.98
Interest,0.04,0.01,0.08,0.08,0.14,0.37,1.04,0.39,0.30
Depreciation,0.07,0.10,0.21,0.22,1.13,2.40,4.08,4.14,4.13
Profit before tax,1.18,1.35,1.44,2.00,3.55,-7.00,-3.19,5.68,4.30
Tax %,27.12%,28.15%,26.39%,21.00%,25.35%,-24.71%,-26.02%,24.30%,
Net Profit+,0.87,0.97,1.06,1.57,2.64,-5.22,-2.43,4.29,3.23
EPS in Rs,,,1.41,1.52,2.54,-5.03,-2.34,4.12,3.10
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
