Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,120,115,124,161,132,99,170,190,160,197,254,323
Expenses+,110,104,111,138,117,92,149,168,146,170,207,256
Operating Profit,11,11,14,23,14,7,21,23,14,27,47,67
OPM %,9%,10%,11%,14%,11%,7%,12%,12%,9%,14%,18%,21%
Other Income+,0,0,1,1,1,0,1,2,3,4,5,8
Interest,0,0,1,1,2,2,1,0,0,1,1,1
Depreciation,3,3,3,3,4,4,4,4,3,4,4,4
Profit before tax,8,8,11,20,9,2,17,21,13,26,47,70
Tax %,32%,34%,36%,33%,15%,8%,29%,27%,23%,25%,25%,
Net Profit+,5,5,7,14,8,2,12,15,11,21,38,54
EPS in Rs,0.34,0.35,0.46,0.83,0.49,0.09,0.73,0.92,0.70,1.28,2.32,3.21
Dividend Payout %,27%,26%,20%,11%,8%,0%,0%,10%,19%,0%,6%,
