Metric,Mar 20146m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,19,53,95,141,230,341,316,590,732,"1,143","1,427","1,429"
Expenses+,0,19,51,92,130,214,326,300,565,693,"1,076","1,355","1,359"
Operating Profit,0,0,2,4,11,17,16,16,25,39,67,72,70
OPM %,0%,2%,4%,4%,8%,7%,5%,5%,4%,5%,6%,5%,5%
Other Income+,0,0,0,0,1,1,3,1,2,5,6,6,6
Interest,0,0,1,2,2,4,3,6,9,22,34,41,38
Depreciation,0,0,1,1,1,2,3,4,6,8,10,11,11
Profit before tax,0,0,1,1,8,12,12,8,12,13,29,26,26
Tax %,,25%,31%,38%,31%,30%,30%,31%,27%,29%,37%,24%,
Net Profit+,0,0,0,1,6,8,8,5,9,10,18,20,21
EPS in Rs,0.00,0.04,0.15,0.29,0.94,1.16,0.89,0.57,0.95,0.92,1.38,1.19,1.45
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
