Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,424,478,570,599,594,612,502,88,160,396,408,422,449
Expenses+,290,318,387,414,424,449,384,177,211,364,342,365,370
Operating Profit,134,160,183,185,170,163,118,-88,-51,32,66,58,79
OPM %,32%,33%,32%,31%,29%,27%,23%,-100%,-32%,8%,16%,14%,18%
Other Income+,3,6,7,16,17,21,16,14,12,14,12,10,14
Interest,20,20,14,14,9,11,10,13,12,11,13,12,13
Depreciation,66,77,77,92,80,74,71,63,56,50,43,39,40
Profit before tax,51,69,98,96,98,99,52,-151,-107,-14,23,17,41
Tax %,-2%,26%,35%,38%,38%,35%,26%,-22%,-19%,-9%,28%,43%,
Net Profit+,52,53,67,60,61,65,39,-118,-87,-13,16,10,29
EPS in Rs,18.40,18.85,23.08,21.92,22.17,23.47,13.68,-41.48,-22.83,-3.46,4.24,2.47,7.39
Dividend Payout %,0%,0%,35%,46%,56%,128%,110%,0%,0%,0%,0%,0%,
