Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,971,"1,071",984,"1,093","1,274","1,661","1,636","1,572","2,613","3,072","3,525","3,936","4,006"
Expenses+,927,"1,011",893,"1,006","1,175","1,535","1,508","1,456","2,430","2,868","3,243","3,625","3,678"
Operating Profit,44,59,91,87,99,127,128,117,183,204,282,311,328
OPM %,5%,6%,9%,8%,8%,8%,8%,7%,7%,7%,8%,8%,8%
Other Income+,27,27,11,5,4,3,4,6,4,15,13,35,34
Interest,35,38,40,48,56,61,60,55,57,66,77,80,87
Depreciation,8,12,15,18,20,24,26,28,29,33,35,45,49
Profit before tax,28,37,47,27,27,45,45,40,101,121,182,221,226
Tax %,37%,24%,30%,26%,41%,30%,25%,25%,25%,27%,27%,25%,
Net Profit+,18,28,33,20,16,31,34,30,75,88,132,166,170
EPS in Rs,8.89,12.67,14.91,8.97,6.95,13.67,14.72,12.26,28.84,32.21,41.63,50.59,51.43
Dividend Payout %,3%,12%,10%,8%,0%,0%,0%,0%,12%,14%,14%,8%,
