Metric,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,78,90,334,492,771,887,"1,425","2,558","3,438","4,977","5,761"
Expenses+,149,232,386,828,"1,091","1,046","2,325","3,219","3,626","4,883","5,488"
Operating Profit,-72,-142,-52,-336,-320,-160,-901,-662,-188,94,273
OPM %,-92%,-157%,-16%,-68%,-41%,-18%,-63%,-26%,-5%,2%,5%
Other Income+,10,35,26,37,84,71,124,259,381,449,389
Interest,0,0,0,8,12,12,14,22,27,34,36
Depreciation,2,3,7,30,47,41,43,64,89,121,134
Profit before tax,-64,-110,-34,-337,-295,-142,-833,-488,77,388,491
Tax %,0%,0%,76%,3%,3%,6%,-0%,-0%,16%,9%,
Net Profit+,-64,-110,-59,-347,-304,-150,-833,-488,64,353,462
EPS in Rs,"-17,719.44","-30,600.00","-16,396.12","-91,265.79","-80,007.89","-6,583.70",-18.53,-10.82,1.48,7.69,10.06
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
