Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,122,169,234,321,402,543,719,650,974,"1,174","1,297","1,516","1,539"
Expenses+,98,128,204,266,332,391,519,485,666,774,865,"1,022","1,039"
Operating Profit,24,41,30,55,69,151,201,165,308,400,432,494,500
OPM %,20%,24%,13%,17%,17%,28%,28%,25%,32%,34%,33%,33%,32%
Other Income+,3,10,16,11,10,8,10,10,19,31,37,51,59
Interest,3,3,3,3,4,42,48,46,56,58,63,77,72
Depreciation,13,9,18,22,28,60,69,73,83,90,112,138,138
Profit before tax,11,38,24,41,47,58,93,56,187,282,295,330,348
Tax %,53%,35%,28%,24%,22%,22%,41%,29%,26%,25%,26%,26%,
Net Profit+,5,25,17,31,36,45,55,40,139,212,218,244,258
EPS in Rs,8.56,26.74,18.22,33.78,8.25,10.14,12.68,9.10,14.70,20.77,21.38,23.97,25.35
Dividend Payout %,23%,7%,11%,7%,12%,10%,16%,-0%,14%,14%,14%,13%,
