Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,101,129,139,193,250,302,399,488,506
Expenses+,89,103,114,154,197,243,322,388,413
Operating Profit,12,26,25,39,53,59,77,100,93
OPM %,12%,20%,18%,20%,21%,19%,19%,20%,18%
Other Income+,3,4,5,3,3,7,12,21,-106
Interest,4,3,2,1,1,4,8,12,14
Depreciation,1,2,2,2,3,7,11,16,18
Profit before tax,10,25,25,38,52,54,70,92,-44
Tax %,28%,23%,20%,21%,22%,20%,18%,24%,
Net Profit+,7,19,20,30,40,44,57,70,-54
EPS in Rs,2.25,6.19,2.65,3.94,1.30,-0.00,1.74,1.82,-1.36
Dividend Payout %,4%,2%,4%,-0%,8%,,6%,5%,
