Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,69,54,141,169,108,168,128,159,127,129,112,133,133
Expenses+,50,47,113,134,74,117,81,93,67,79,72,107,114
Operating Profit,19,7,28,35,34,51,47,66,60,50,39,26,20
OPM %,27%,14%,20%,21%,32%,30%,37%,42%,47%,39%,35%,19%,15%
Other Income+,5,5,8,5,5,6,7,8,10,12,10,10,10
Interest,3,2,5,3,2,2,1,1,1,0,3,4,4
Depreciation,0,1,1,1,0,0,1,1,1,1,1,1,1
Profit before tax,20,10,30,37,37,54,53,73,68,60,45,31,24
Tax %,35%,35%,34%,36%,31%,29%,25%,26%,26%,26%,25%,30%,
Net Profit+,14,6,20,24,25,38,39,54,51,44,34,22,17
EPS in Rs,14.64,6.60,20.92,23.21,24.74,37.38,39.98,55.33,51.66,45.12,34.44,21.88,16.94
Dividend Payout %,3%,6%,10%,11%,10%,9%,9%,15%,16%,18%,23%,41%,
