Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,104,102,68,47,47,203,91,91,136,187,242,311,333
Expenses+,108,87,53,50,38,197,93,35,49,85,83,104,116
Operating Profit,-5,15,15,-3,10,6,-2,55,86,102,158,207,217
OPM %,-5%,15%,22%,-7%,20%,3%,-2%,61%,64%,55%,66%,67%,65%
Other Income+,2,1,3,19,2,4,18,5,3,5,14,19,19
Interest,11,12,13,10,7,2,0,0,0,0,0,0,0
Depreciation,2,2,2,1,1,1,1,1,1,1,2,2,2
Profit before tax,-16,3,4,4,4,7,14,59,89,106,171,223,234
Tax %,5%,18%,20%,31%,22%,61%,21%,27%,27%,28%,25%,25%,
Net Profit+,-16,3,3,3,3,3,11,43,65,77,127,167,174
EPS in Rs,-1.06,0.18,0.20,0.21,0.22,0.20,0.79,3.35,4.98,5.96,9.90,13.03,13.60
Dividend Payout %,-9%,57%,50%,48%,46%,50%,19%,4%,4%,8%,61%,54%,
