Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,19.03,19.87,34.21,46.16,47.68,62.64,48.84,45.11,69.64,78.76
Expenses+,17.69,17.48,31.02,42.93,43.04,59.75,44.96,40.85,60.52,70.12
Operating Profit,1.34,2.39,3.19,3.23,4.64,2.89,3.88,4.26,9.12,8.64
OPM %,7.04%,12.03%,9.32%,7.00%,9.73%,4.61%,7.94%,9.44%,13.10%,10.97%
Other Income+,0.03,-0.03,0.02,0.10,0.41,0.68,0.66,0.75,1.17,1.01
Interest,0.38,0.68,1.19,1.69,1.76,1.56,2.56,2.54,3.09,3.09
Depreciation,0.14,0.33,0.47,0.38,1.11,1.33,1.84,1.90,2.03,1.95
Profit before tax,0.85,1.35,1.55,1.26,2.18,0.68,0.14,0.57,5.17,4.61
Tax %,34.12%,29.63%,29.03%,32.54%,26.15%,26.47%,21.43%,1.75%,28.24%,
Net Profit+,0.56,0.96,1.11,0.85,1.61,0.50,0.11,0.56,3.71,3.28
EPS in Rs,0.52,0.89,1.03,0.71,1.11,0.34,0.07,0.34,2.15,1.86
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
