Metric,Mar 2017,Mar 2019,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,370,602,682,911,"1,306","1,891","2,344","2,411"
Expenses+,96,135,255,247,419,739,"1,120","1,211"
Operating Profit,274,467,427,663,888,"1,152","1,224","1,200"
OPM %,74%,78%,63%,73%,68%,61%,52%,50%
Other Income+,0,16,3,6,5,15,11,12
Interest,176,303,324,411,559,730,832,838
Depreciation,1,5,7,10,12,17,18,20
Profit before tax,97,175,100,248,321,420,386,354
Tax %,34%,34%,23%,27%,25%,24%,22%,
Net Profit+,64,115,77,182,242,318,301,281
EPS in Rs,8.14,12.65,7.68,19.40,25.83,34.49,18.87,17.73
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
