Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,631","4,288","5,060","4,545","5,586","8,371","10,384","10,740","13,854","19,551","20,185"
Expenses+,"3,578","4,204","4,953","4,427","5,466","8,230","10,159","10,475","13,559","19,023","19,639"
Operating Profit,53,84,107,118,120,141,225,264,295,528,546
OPM %,1%,2%,2%,3%,2%,2%,2%,2%,2%,3%,3%
Other Income+,17,21,11,10,13,17,17,17,32,34,35
Interest,40,53,70,84,84,62,56,78,118,183,181
Depreciation,15,21,28,30,23,30,29,29,32,54,53
Profit before tax,15,31,20,14,26,66,156,175,177,325,347
Tax %,36%,35%,23%,23%,27%,32%,21%,24%,23%,24%,
Net Profit+,9,20,15,11,19,45,123,132,136,246,264
EPS in Rs,0.35,0.74,0.57,0.40,0.71,1.64,4.17,4.49,4.60,8.32,8.96
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
