Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,642,690,841,945,867,"1,098","1,329"
Expenses+,577,624,743,832,805,983,"1,185"
Operating Profit,64,66,98,113,63,115,144
OPM %,10%,10%,12%,12%,7%,10%,11%
Other Income+,11,5,31,14,15,17,23
Interest,45,27,25,35,16,17,17
Depreciation,16,16,18,20,23,29,32
Profit before tax,15,29,86,73,38,87,118
Tax %,19%,20%,21%,28%,26%,27%,
Net Profit+,12,23,67,52,28,63,87
EPS in Rs,754.25,"1,345.65","3,958.05",9.06,4.26,9.59,13.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,
