Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,155,155,164,183,214,242,242,216,337,446,536,605,578
Expenses+,113,136,134,147,177,200,208,189,277,355,434,475,455
Operating Profit,42,18,31,36,37,41,35,27,60,90,102,129,123
OPM %,27%,12%,19%,20%,17%,17%,14%,12%,18%,20%,19%,21%,21%
Other Income+,10,12,9,11,12,12,7,8,9,11,21,15,18
Interest,0,0,0,0,0,0,0,0,0,0,1,0,0
Depreciation,26,17,17,18,16,11,8,9,10,11,13,13,14
Profit before tax,26,13,23,28,33,42,33,26,59,90,110,130,126
Tax %,29%,29%,23%,21%,14%,21%,23%,23%,28%,26%,25%,26%,
Net Profit+,18,9,18,23,29,33,25,20,42,67,82,96,93
EPS in Rs,2.25,1.14,2.17,2.75,3.50,4.08,3.28,2.63,5.54,8.74,10.72,12.52,12.12
Dividend Payout %,44%,44%,23%,27%,29%,147%,61%,57%,45%,57%,47%,40%,
