Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"7,444","8,579","9,484","9,674","10,110","11,286","13,552","14,691","13,980","14,325"
Expenses+,"5,550","6,543","7,542","7,591","7,340","8,860","11,224","12,052","11,573","11,442"
Operating Profit,"1,894","2,036","1,942","2,083","2,770","2,426","2,328","2,639","2,407","2,883"
OPM %,25%,24%,20%,22%,27%,22%,17%,18%,17%,20%
Other Income+,296,274,235,217,145,171,532,314,140,261
Interest,856,708,542,415,303,202,234,386,399,436
Depreciation,"1,226","1,213","1,296","1,528","1,250","1,235","1,305","1,498","1,331","1,322"
Profit before tax,108,389,339,357,"1,362","1,160","1,321","1,069",817,"1,386"
Tax %,69%,25%,-3%,33%,13%,27%,18%,20%,14%,
Net Profit+,44,291,349,238,"1,183",845,"1,079",853,699,"1,139"
EPS in Rs,"8,800.00","58,400.00",15.96,11.61,62.58,43.55,55.21,44.04,36.41,59.97
Dividend Payout %,0%,"1,937%",13%,17%,2%,20%,16%,21%,25%,
