Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,587,"1,043","1,435","1,483","1,463","1,401","2,401","2,355","1,500"
Interest,232,360,360,426,542,460,930,936,688
Expenses+,67,208,482,872,832,989,890,"2,844","2,799"
Financing Profit,288,475,593,185,89,-48,581,"-1,425","-1,988"
Financing Margin %,49%,46%,41%,12%,6%,-3%,24%,-61%,-133%
Other Income+,0,5,34,23,17,76,110,69,36
Depreciation,6,7,9,8,9,11,20,23,21
Profit before tax,283,473,618,200,97,18,671,"-1,379","-1,973"
Tax %,34%,34%,43%,27%,28%,30%,25%,-25%,
Net Profit+,188,312,352,145,70,12,501,"-1,035","-1,484"
EPS in Rs,50.80,42.02,43.93,18.13,8.09,1.39,56.44,-116.70,-167.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
