Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,908","2,656","2,758","2,525","2,459","2,106","2,043","4,038","4,085","3,873","4,259","4,620"
Expenses+,"2,867","2,629","2,635","2,464","2,479","2,128","1,950","3,734","4,041","3,910","4,080","4,381"
Operating Profit,41,27,122,61,-20,-22,93,304,44,-37,179,239
OPM %,1%,1%,4%,2%,-1%,-1%,5%,8%,1%,-1%,4%,5%
Other Income+,202,136,5,-24,55,20,10,9,22,4,28,31
Interest,45,50,43,54,91,92,66,62,60,132,157,148
Depreciation,158,143,117,78,79,86,34,31,31,39,48,49
Profit before tax,40,-31,-33,-94,-135,-180,3,219,-25,-203,1,73
Tax %,-1%,-56%,-38%,-140%,-40%,75%,"-3,245%",-23%,-1%,0%,0%,
Net Profit+,40,-14,-21,38,-81,-317,113,269,-25,-203,1,73
EPS in Rs,2.65,-0.89,-1.36,2.48,-5.36,-12.12,4.34,10.30,-0.94,-7.79,0.05,2.81
Dividend Payout %,38%,-112%,-73%,40%,0%,0%,0%,0%,0%,0%,0%,
