Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,408,350,328,208,194,314,384,257,350,437,729,652,648
Expenses+,368,280,293,320,160,202,215,189,220,310,486,438,410
Operating Profit,40,71,35,-112,33,112,169,68,130,127,243,214,238
OPM %,10%,20%,11%,-54%,17%,36%,44%,26%,37%,29%,33%,33%,37%
Other Income+,13,104,24,19,20,30,30,101,46,20,29,39,42
Interest,1,1,1,3,1,4,6,6,7,7,17,16,15
Depreciation,50,45,47,48,49,52,55,57,84,112,135,131,133
Profit before tax,2,128,11,-145,3,86,139,106,85,28,120,107,132
Tax %,203%,5%,52%,3%,66%,4%,4%,7%,1%,-22%,-1%,18%,
Net Profit+,-2,122,5,-149,1,82,133,99,84,34,121,88,114
EPS in Rs,-0.61,35.99,2.12,-58.55,0.39,32.19,52.41,38.76,32.73,12.98,47.08,35.25,45.43
Dividend Payout %,0%,3%,0%,0%,0%,0%,2%,3%,0%,0%,2%,0%,
