Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,893,945,986,702,"1,011","1,247",932,"1,059","1,222"
Expenses+,838,900,960,646,936,"1,173",942,"1,022","1,141"
Operating Profit,55,45,26,55,75,73,-10,37,81
OPM %,6%,5%,3%,8%,7%,6%,-1%,3%,7%
Other Income+,10,13,10,17,16,15,18,19,23
Interest,3,3,2,0,1,2,2,1,2
Depreciation,21,19,18,15,17,19,21,19,23
Profit before tax,41,36,17,57,73,68,-15,36,80
Tax %,30%,13%,-32%,19%,20%,28%,-46%,38%,
Net Profit+,29,31,22,46,59,49,-8,22,52
EPS in Rs,30.56,33.48,23.69,49.51,62.50,52.45,-8.63,23.85,55.28
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
