Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,178,219,314,427,602,702,742,627,"1,048","1,404","1,488","1,745","1,790"
Expenses+,181,212,288,408,560,666,698,607,966,"1,276","1,303","1,520","1,565"
Operating Profit,-3,6,27,19,41,35,43,20,82,128,185,225,226
OPM %,-2%,3%,8%,5%,7%,5%,6%,3%,8%,9%,12%,13%,13%
Other Income+,0,0,1,4,6,4,3,6,-22,2,3,9,11
Interest,7,8,7,2,2,2,4,3,5,7,6,7,6
Depreciation,3,3,3,3,6,8,9,11,13,14,18,22,23
Profit before tax,-12,-5,17,18,39,29,33,12,41,110,164,206,208
Tax %,-31%,-35%,38%,30%,36%,35%,26%,55%,26%,26%,25%,26%,
Net Profit+,-8,-3,11,12,25,19,25,5,31,81,123,153,154
EPS in Rs,-6.95,-2.49,8.93,10.24,20.35,15.74,20.33,4.39,25.29,67.22,101.17,126.22,126.83
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,
