Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,980,938,"1,384","2,046","2,044","2,104","1,799","1,393"
Expenses+,843,797,"1,101","1,839","1,896","1,896","1,687","1,269"
Operating Profit,137,140,283,207,149,208,112,124
OPM %,14%,15%,20%,10%,7%,10%,6%,9%
Other Income+,6,3,8,11,19,19,11,12
Interest,37,32,22,25,27,24,23,21
Depreciation,45,42,44,47,49,56,57,57
Profit before tax,61,69,225,146,91,147,43,58
Tax %,23%,27%,35%,35%,51%,36%,41%,
Net Profit+,47,51,145,94,44,93,25,33
EPS in Rs,10.36,11.24,32.16,20.86,9.79,20.61,5.57,7.22
Dividend Payout %,24%,22%,12%,14%,31%,19%,0%,
