Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,732","3,849","5,128","5,846","5,694","6,707","6,852","5,299","5,804","6,402","7,409","7,613","7,859"
Expenses+,"1,973","1,631","2,461","2,789","3,005","3,763","3,887","2,947","3,229","3,271","4,387","4,141","4,242"
Operating Profit,"1,759","2,218","2,667","3,057","2,689","2,944","2,965","2,352","2,575","3,130","3,022","3,472","3,617"
OPM %,47%,58%,52%,52%,47%,44%,43%,44%,44%,49%,41%,46%,46%
Other Income+,120,113,127,123,295,196,252,189,552,300,793,"6,222","6,169"
Interest,760,937,"1,070","1,342",976,"1,126","1,574","1,697","1,894","1,521","1,868","1,795","1,815"
Depreciation,477,707,853,855,544,540,468,582,683,832,995,"1,038","1,052"
Profit before tax,642,686,870,984,"1,464","1,473","1,175",262,550,"1,077",951,"6,861","6,919"
Tax %,28%,21%,26%,27%,37%,42%,39%,55%,34%,33%,36%,6%,
Net Profit+,460,542,640,715,920,850,721,117,361,720,606,"6,481","6,543"
EPS in Rs,1.38,1.54,1.82,2.04,2.62,2.42,2.05,0.33,0.60,1.19,1.00,10.73,10.85
Dividend Payout %,29%,26%,22%,25%,19%,10%,24%,0%,0%,17%,30%,3%,
