Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,34,59,102,230,644,"1,024","1,735","2,265"
Expenses+,19,32,44,121,435,687,"1,172","1,535"
Operating Profit,15,27,58,109,208,337,564,730
OPM %,45%,46%,57%,47%,32%,33%,32%,32%
Other Income+,6,0,0,1,3,7,17,34
Interest,4,8,16,37,47,86,79,110
Depreciation,4,7,13,14,23,40,61,93
Profit before tax,13,12,30,59,142,217,441,561
Tax %,31%,46%,27%,27%,23%,26%,26%,
Net Profit+,9,6,22,43,110,162,325,417
EPS in Rs,0.55,0.40,1.35,2.66,6.74,8.94,16.23,20.13
Dividend Payout %,0%,0%,0%,4%,9%,3%,5%,
