Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,012","1,048","1,111","1,311","1,516","1,135","2,084","2,998","3,556","4,951","5,241"
Expenses+,"1,013","1,008","1,015","1,106","1,254",945,"1,608","2,341","2,991","4,112","4,444"
Operating Profit,-1,39,96,205,262,189,476,657,565,839,797
OPM %,-0%,4%,9%,16%,17%,17%,23%,22%,16%,17%,15%
Other Income+,-0,8,23,42,2,131,-3,12,18,33,38
Interest,43,88,34,137,161,155,129,149,189,267,272
Depreciation,85,137,55,203,223,229,221,278,391,592,603
Profit before tax,-129,-178,30,-93,-120,-64,123,242,4,13,-40
Tax %,1%,1%,-3%,1%,2%,-2%,-26%,-9%,363%,154%,
Net Profit+,-130,-180,31,-94,-121,-63,155,263,-10,-7,-46
EPS in Rs,-11.98,-11.31,4.33,-7.46,-11.46,-0.48,1.30,2.20,0.39,0.08,-0.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
