Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,086","2,326","2,594","2,503","2,721","3,500","4,127","4,857","5,578","5,614"
Expenses+,"1,876","2,135","2,369","2,244","2,409","3,159","3,807","4,429","5,064","5,134"
Operating Profit,210,191,225,259,312,341,320,428,514,480
OPM %,10%,8%,9%,10%,11%,10%,8%,9%,9%,9%
Other Income+,12,10,20,24,20,10,16,33,20,20
Interest,2,2,2,4,6,8,16,40,25,15
Depreciation,16,20,23,29,39,49,64,81,96,105
Profit before tax,204,180,220,250,288,294,256,340,414,380
Tax %,29%,25%,23%,25%,30%,22%,26%,24%,24%,
Net Profit+,145,135,168,188,202,228,189,258,314,290
EPS in Rs,3.41,3.15,3.92,4.37,4.67,5.28,4.38,5.93,7.20,6.66
Dividend Payout %,21%,22%,20%,21%,26%,25%,30%,24%,21%,
