Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,736","2,641","2,959","2,320","4,503","4,944","3,271","1,521","1,445",587,"1,188","2,180","2,389"
Expenses+,"1,225","2,030","2,062","1,667","1,197","3,897","2,472","1,341","1,446",942,"1,182","1,887","2,349"
Operating Profit,511,611,898,653,"3,306","1,047",799,180,-1,-356,6,293,39
OPM %,29%,23%,30%,28%,73%,21%,24%,12%,-0%,-61%,1%,13%,2%
Other Income+,64,95,137,518,229,278,90,140,96,-167,29,210,326
Interest,220,336,501,561,744,464,481,228,110,28,556,461,541
Depreciation,21,20,69,71,97,17,31,17,12,12,7,15,23
Profit before tax,334,351,464,539,"2,694",844,378,75,-27,-563,-527,27,-199
Tax %,39%,23%,31%,34%,12%,40%,68%,94%,409%,8%,-8%,-643%,
Net Profit+,203,271,321,357,"2,360",504,121,5,-137,-608,-517,194,-222
EPS in Rs,5.28,5.84,6.41,8.30,49.99,11.19,2.65,0.09,-3.00,-11.23,-9.18,1.63,-1.60
Dividend Payout %,57%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
