Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,12,20,37,46,41,57,42,83,155,254,266
Expenses+,11,15,29,36,34,45,31,65,134,216,228
Operating Profit,1,5,8,11,7,12,11,18,22,38,37
OPM %,5%,25%,22%,23%,17%,22%,27%,21%,14%,15%,14%
Other Income+,0,0,1,1,2,2,1,1,2,5,7
Interest,0,1,1,0,1,1,1,2,2,2,2
Depreciation,0,1,1,2,2,4,3,3,6,13,13
Profit before tax,0,4,7,9,5,9,8,14,16,28,29
Tax %,12%,21%,15%,16%,22%,12%,21%,21%,-2%,8%,
Net Profit+,0,3,6,7,4,8,6,11,16,26,26
EPS in Rs,,,2.39,3.06,1.69,3.41,2.54,4.60,1.88,3.05,3.19
Dividend Payout %,-0%,-0%,-0%,1%,3%,-0%,-0%,-0%,-0%,-0%,
